Command: 'C:\Users\Hu\Desktop\CED_schedule_Final\build\Release\CED_Schedule.exe' '--solver' 'CGA' '--seed' '5' '--alpha' '0.2' '--generations' '10000' '--log_every' '50' '--data_dir' 'C:\Users\Hu\Desktop\CED_schedule_Final\data' '--data_file' 'data_matrix_100.txt' '--cnum' '100' '--enum' '100' '--dnum' '300' '--tnum' '100' '--mopt' '5'
=== CED_Schedule Configuration ===
Data directory: "C:\\Users\\Hu\\Desktop\\CED_schedule_Final\\data"
Data file: data_matrix_100.txt
Generations: 10000
Population size: 40
Random seed: 5
Pini (heuristic prob): 0.4
Objective alpha: 0.2
Solver: CGA
Cnum/Enum/Dnum/Tnum/Mopt: 100/100/300/100/5
Migration: disabled
CGA input: (raw data mode via --data_dir/--data_file)
CGA VM count (raw mode): 35
CGA communication scale (raw mode): 0.01
CGA edge ratio (raw mode): 0.6
CGA deadline factor (raw mode): 1.5
=================================
[Initial] Loading data from: "C:\\Users\\Hu\\Desktop\\CED_schedule_Final\\data\\data_matrix_100.txt"
Gen 6100: best_fit = 0.169431
Gen 6150: best_fit = 0.169431
Gen 6200: best_fit = 0.169212
Gen 6250: best_fit = 0.169212
Gen 6300: best_fit = 0.169043
Gen 6350: best_fit = 0.168993
Gen 6400: best_fit = 0.168993
Gen 6450: best_fit = 0.168791
Gen 6500: best_fit = 0.168555
Gen 6550: best_fit = 0.168369
Gen 6600: best_fit = 0.168369
Gen 6650: best_fit = 0.168184
Gen 6700: best_fit = 0.168184
Gen 6750: best_fit = 0.168184
Gen 6800: best_fit = 0.168184
Gen 6850: best_fit = 0.168184
Gen 6900: best_fit = 0.168015
Gen 6950: best_fit = 0.168015
Gen 7000: best_fit = 0.168015
Gen 7050: best_fit = 0.16783
Gen 7100: best_fit = 0.16783
Gen 7150: best_fit = 0.16783
Gen 7200: best_fit = 0.16783
Gen 7250: best_fit = 0.16783
Gen 7300: best_fit = 0.167594
Gen 7350: best_fit = 0.167594
Gen 7400: best_fit = 0.167594
Gen 7450: best_fit = 0.167526
Gen 7500: best_fit = 0.167526
Gen 7550: best_fit = 0.167526
Gen 7600: best_fit = 0.167526
Gen 7650: best_fit = 0.167526
Gen 7700: best_fit = 0.167526
Gen 7750: best_fit = 0.167526
Gen 7800: best_fit = 0.167526
Gen 7850: best_fit = 0.167526
Gen 7900: best_fit = 0.167493
Gen 7950: best_fit = 0.167493
Gen 8000: best_fit = 0.167341
Gen 8050: best_fit = 0.167341
Gen 8100: best_fit = 0.167341
Gen 8150: best_fit = 0.167324
Gen 8200: best_fit = 0.167324
Gen 8250: best_fit = 0.167307
Gen 8300: best_fit = 0.167307
Gen 8350: best_fit = 0.167172
Gen 8400: best_fit = 0.167172
Gen 8450: best_fit = 0.167172
Gen 8500: best_fit = 0.167172
Gen 8550: best_fit = 0.167139
Gen 8600: best_fit = 0.16697
Gen 8650: best_fit = 0.166953
Gen 8700: best_fit = 0.166953
Gen 8750: best_fit = 0.166801
Gen 8800: best_fit = 0.166801
Gen 8850: best_fit = 0.166801
Gen 8900: best_fit = 0.166801
Gen 8950: best_fit = 0.166751
Gen 9000: best_fit = 0.166751
Gen 9050: best_fit = 0.166582
Gen 9100: best_fit = 0.166414
Gen 9150: best_fit = 0.166346
Gen 9200: best_fit = 0.166346
Gen 9250: best_fit = 0.166127
Gen 9300: best_fit = 0.166127
Gen 9350: best_fit = 0.166127
Gen 9400: best_fit = 0.166127
Gen 9450: best_fit = 0.166127
Gen 9500: best_fit = 0.166127
Gen 9550: best_fit = 0.166127
Gen 9600: best_fit = 0.165959
Gen 9650: best_fit = 0.165942
Gen 9700: best_fit = 0.165942
Gen 9750: best_fit = 0.165942
Gen 9800: best_fit = 0.165942
Gen 9850: best_fit = 0.165942
Gen 9900: best_fit = 0.165942
Gen 9950: best_fit = 0.165908
Gen 10000: best_fit = 0.165908

=== Final Results (CGA) ===
Solver: CGA
Generations = 10000
Best generation = 9942
Catastrophe triggers = 1
Best fitness = 0.165908
The best solution = 0.165908
Time = 55.525 s

exit code 0
Command: 'C:\Users\Hu\Desktop\CED_schedule_Final\build\Release\CED_Schedule.exe' --solver CGA --seed 5 --alpha 0.2 --generations 10000 --log_every 50 --data_dir 'C:\Users\Hu\Desktop\CED_schedule_Final\data' --data_file data_matrix_100.txt --cnum 100 --enum 100 --dnum 300 --tnum 100 --mopt 5

exit code 0
